,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
464,INC2012-140,Release of Substance,10/04/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
465,INC2012-141,Release of Substance,10/04/2012,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas - Sweet,
466,INC2012-142,Fire,10/05/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
467,INC2012-144,Release of Substance,10/09/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
468,INC2012-146,Operation Beyond Design Limits,10/22/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
469,INC2012-148,Operation Beyond Design Limits,10/27/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
470,INC2012-149,Release of Substance,10/29/2012,Ontario,Enbridge Pipelines Inc.,Crude Oil - Sour,7.44
471,INC2012-150,Release of Substance,10/29/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
472,INC2012-151,Release of Substance,10/29/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
473,INC2012-152,Release of Substance,11/01/2012,British Columbia,TransCanada PipeLines Limited B.C. System,Natural Gas - Sweet,
474,INC2012-153,Release of Substance,11/01/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
475,INC2012-154,Release of Substance,11/08/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
476,INC2012-155,Fire,11/12/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
477,INC2012-156,Release of Substance,11/14/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
478,INC2012-157,Release of Substance,11/15/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
479,INC2012-158,Release of Substance,11/18/2012,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Natural Gas - Sweet,
480,INC2012-159,Release of Substance,11/18/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
481,INC2012-161,Fire,11/22/2012,Ontario,TransCanada PipeLines Limited,Not Applicable,
482,INC2012-162,Release of Substance,11/22/2012,Quebec,TransCanada PipeLines Limited,Natural Gas - Sweet,
483,INC2012-164,Release of Substance,11/24/2012,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,
484,INC2012-166,Release of Substance,11/27/2012,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
485,INC2012-168,Release of Substance,12/07/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
486,INC2012-171,Serious Injury (CER or TSB),12/15/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
487,INC2012-173,Release of Substance,12/26/2012,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
488,INC2012-174,Fire,12/29/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
489,INC2012-175,Fire,01/08/2013,Ontario,TransCanada PipeLines Limited,Not Applicable,
490,INC2012-176,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
491,INC2012-177,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
492,INC2012-178,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
493,INC2012-179,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
494,INC2012-180,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
495,INC2012-181,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
496,INC2012-182,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
497,INC2012-183,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
498,INC2012-184,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
499,INC2012-185,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
500,INC2012-186,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
501,INC2012-187,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
502,INC2012-188,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
503,INC2012-189,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
504,INC2012-190,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
505,INC2012-191,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
506,INC2012-192,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
507,INC2012-193,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
508,INC2012-194,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
509,INC2012-195,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
510,INC2012-196,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
511,INC2012-197,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
512,INC2012-198,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
513,INC2012-199,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
514,INC2012-200,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
515,INC2012-201,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
516,INC2012-202,Operation Beyond Design Limits,02/27/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
517,INC2013-003,Fire,01/08/2013,Ontario,TransCanada PipeLines Limited,Not Applicable,
518,INC2013-004,Release of Substance,01/08/2013,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,679.0
519,INC2013-005,Release of Substance,01/15/2013,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
520,INC2013-007,Release of Substance,01/21/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Condensate,9.1
521,INC2013-010,Release of Substance,01/25/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
522,INC2013-011,Release of Substance,01/26/2013,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1.0
523,INC2013-012,Release of Substance,01/26/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
524,INC2013-015,Serious Injury (CER or TSB),01/30/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
525,INC2013-016,Release of Substance,02/01/2013,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1000.0
526,INC2013-018,Release of Substance,02/02/2013,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,7.7
527,INC2013-024,Release of Substance,02/10/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
528,INC2013-025,Fire,02/12/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
529,INC2013-028,Release of Substance,02/14/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
530,INC2013-030,Release of Substance,02/19/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
531,INC2013-031,Release of Substance,02/21/2013,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
532,INC2013-038,Release of Substance,03/04/2013,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
533,INC2013-039,Release of Substance,03/08/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,1.0
534,INC2013-041,Release of Substance,03/08/2013,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,1e-04
535,INC2013-043,Release of Substance,03/15/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Condensate,2.0
536,INC2013-044,Fire,03/16/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
537,INC2013-047,Operation Beyond Design Limits,03/18/2013,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
538,INC2013-052,"Serious Injury (CER or TSB), Fire, Release of Substance",03/26/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,0.01
539,INC2013-053,Release of Substance,04/01/2013,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,
540,INC2013-056,"Fire, Release of Substance",04/04/2013,Ontario,Plains Midstream Canada ULC,Mixed HVP Hydrocarbons,30.0
541,INC2013-058,Fire,04/05/2013,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
542,INC2013-059,Operation Beyond Design Limits,04/09/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
543,INC2013-062,Operation Beyond Design Limits,04/13/2013,Ontario,Kinder Morgan Cochin ULC,Not Applicable,
544,INC2013-063,Release of Substance,04/16/2013,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.028
545,INC2013-064,Release of Substance,04/18/2013,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,4.0
546,INC2013-066,Release of Substance,04/26/2013,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,736.0
547,INC2013-067,Operation Beyond Design Limits,04/26/2013,Alberta,Enbridge Pipelines Inc.,Not Applicable,
548,INC2013-069,Operation Beyond Design Limits,04/30/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
549,INC2013-070,Fire,05/01/2013,Alberta,Enbridge Pipelines Inc.,Not Applicable,
550,INC2013-071,Fire,05/03/2013,Alberta,Enbridge Pipelines Inc.,Not Applicable,
551,INC2013-072,Fire,05/04/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
552,INC2013-073,Release of Substance,05/07/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
553,INC2013-074,Operation Beyond Design Limits,05/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
554,INC2013-075,Release of Substance,05/12/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
555,INC2013-077,Release of Substance,05/15/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
556,INC2013-078,Release of Substance,05/15/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
557,INC2013-079,Release of Substance,05/15/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
558,INC2013-080,Release of Substance,05/15/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
559,INC2013-083,Operation Beyond Design Limits,05/23/2013,Northwest Territories,Enbridge Pipelines (NW) Inc.,Not Applicable,
560,INC2013-086,Operation Beyond Design Limits,06/06/2013,Alberta,Enbridge Pipelines Inc.,Not Applicable,
561,INC2013-088,Release of Substance,06/10/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.3
562,INC2013-089,Release of Substance,06/10/2013,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
563,INC2013-091,Release of Substance,06/11/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
564,INC2013-094,Release of Substance,06/14/2013,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.3
565,INC2013-095,Release of Substance,06/14/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.85
566,INC2013-096,Release of Substance,06/19/2013,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,5000.0
567,INC2013-097,Release of Substance,06/19/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,1e-04
568,INC2013-099,Release of Substance,06/26/2013,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,17.8
569,INC2013-101,Operation Beyond Design Limits,07/01/2013,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
570,INC2013-103,Release of Substance,07/02/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1e-04
571,INC2013-104,Release of Substance,07/03/2013,Alberta,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,1.59
572,INC2013-107,Release of Substance,07/08/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
573,INC2013-110,"Fire, Release of Substance",07/05/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,20500.0
574,INC2013-111,Release of Substance,07/12/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1e-04
575,INC2013-112,Release of Substance,07/17/2013,Manitoba,TransCanada PipeLines Limited,Lube Oil,1.9
576,INC2013-113,Release of Substance,07/22/2013,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,
577,INC2013-114,Release of Substance,07/24/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
578,INC2013-115,Operation Beyond Design Limits,07/24/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
579,INC2013-117,Fire,07/25/2013,Alberta,Kinder Morgan Cochin ULC,Not Applicable,
580,INC2013-118,Release of Substance,07/29/2013,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
581,INC2013-119,Release of Substance,08/03/2013,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,
582,INC2013-120,Release of Substance,08/04/2013,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
583,INC2013-123,Fire,08/17/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
584,INC2013-124,Release of Substance,08/20/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
585,INC2013-125,Fire,08/21/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
586,INC2013-126,Operation Beyond Design Limits,08/28/2013,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
587,INC2013-129,Operation Beyond Design Limits,09/06/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
588,INC2013-131,Release of Substance,09/12/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
589,INC2013-133,Release of Substance,09/16/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
590,INC2013-136,Release of Substance,09/22/2013,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,
591,INC2013-137,Release of Substance,09/23/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
592,INC2013-139,Release of Substance,09/26/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
593,INC2013-141,Release of Substance,09/28/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
594,INC2013-142,Release of Substance,10/06/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
595,INC2013-146,Release of Substance,10/17/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,16500000.0
596,INC2013-147,Operation Beyond Design Limits,10/17/2013,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
597,INC2013-148,Release of Substance,10/20/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
598,INC2013-150,Release of Substance,10/23/2013,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
599,INC2013-152,Release of Substance,10/29/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,5.7
600,INC2013-153,Fire,10/31/2013,Alberta,Enbridge Pipelines Inc.,Not Applicable,
601,INC2013-154,Release of Substance,11/02/2013,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
602,INC2013-155,Release of Substance,11/16/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,500.0
603,INC2013-157,Release of Substance,11/21/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,1e-04
604,INC2013-158,Fire,11/22/2013,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
605,INC2013-159,Operation Beyond Design Limits,11/22/2013,Alberta,Cochin Pipe Lines Ltd.,Not Applicable,
606,INC2013-160,Release of Substance,11/24/2013,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
607,INC2013-161,Release of Substance,11/25/2013,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,2.25
608,INC2013-162,Release of Substance,11/27/2013,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,4300000.0
609,INC2013-164,Release of Substance,12/01/2013,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,12.0
610,INC2013-165,Operation Beyond Design Limits,12/02/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
611,INC2013-167,Fire,12/05/2013,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Not Applicable,
612,INC2013-168,Release of Substance,12/05/2013,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.017
613,INC2013-169,Release of Substance,12/09/2013,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.3
614,INC2013-170,Release of Substance,12/11/2013,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,2000.0
615,INC2013-175,Release of Substance,12/16/2013,British Columbia,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,1500.0
616,INC2013-177,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
617,INC2013-178,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
618,INC2013-179,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
619,INC2013-180,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
620,INC2013-181,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
621,INC2013-182,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
622,INC2013-183,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
623,INC2013-184,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
624,INC2013-185,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
625,INC2013-186,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
626,INC2013-187,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
627,INC2013-188,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
628,INC2013-189,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
629,INC2013-190,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
630,INC2013-191,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
631,INC2013-192,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
632,INC2013-193,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
633,INC2013-194,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
634,INC2013-195,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
635,INC2013-196,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
636,INC2013-197,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
637,INC2013-198,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
638,INC2013-199,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
639,INC2013-200,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
640,INC2013-201,Operation Beyond Design Limits,10/10/2013,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
641,INC2013-202,Operation Beyond Design Limits,07/25/2013,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
642,INC2013-203,Operation Beyond Design Limits,07/25/2013,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
643,INC2014-003,Release of Substance,01/08/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
644,INC2014-004,Release of Substance,01/09/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,0.3
645,INC2014-006,"Fire, Release of Substance",01/11/2014,Manitoba,TransCanada PipeLines Limited,Lube Oil,2.0
646,INC2014-007,Release of Substance,01/11/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,1.78
647,INC2014-008,Release of Substance,01/12/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
648,INC2014-012,Fire,01/15/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
649,INC2014-013,Release of Substance,01/15/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,190.0
650,INC2014-014,Release of Substance,01/16/2014,Northwest Territories,Enbridge Pipelines (NW) Inc.,Natural Gas - Sweet,1e-04
651,INC2014-015,Release of Substance,01/16/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,2.0
652,INC2014-016,Release of Substance,01/18/2014,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Synthetic,20.0
653,INC2014-017,Release of Substance,01/22/2014,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,17.0
654,INC2014-024,Release of Substance,02/07/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.01
655,INC2014-025,Fire,02/10/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
656,INC2014-031,Release of Substance,02/16/2014,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,5.0
657,INC2014-033,Release of Substance,02/18/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,30001.0
658,INC2014-038,Fire,02/25/2014,Quebec,Enbridge Pipelines Inc.,Not Applicable,
659,INC2014-040,Adverse Environmental Effects,03/13/2014,Ontario,TransCanada PipeLines Limited,Not Applicable,
660,INC2014-041,Fire,03/13/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
661,INC2014-042,Release of Substance,03/13/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,500.0
662,INC2014-043,Release of Substance,03/14/2014,Alberta,Enbridge Pipelines Inc.,Natural Gas - Sweet,0.001
663,INC2014-044,Release of Substance,03/17/2014,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,1.75
664,INC2014-045,Release of Substance,03/23/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Mixed HVP Hydrocarbons,6.3
665,INC2014-047,Release of Substance,03/25/2014,Alberta,Kinder Morgan Cochin ULC,Mixed HVP Hydrocarbons,
666,INC2014-048,Release of Substance,03/27/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1110.0
667,INC2014-050,Release of Substance,04/01/2014,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sour,2.5
668,INC2014-052,Release of Substance,04/07/2014,Saskatchewan,Kinder Morgan Cochin ULC,Propane,
669,INC2014-053,Fire,04/09/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
670,INC2014-055,Release of Substance,04/10/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
671,INC2014-056,"Release of Substance, Adverse Environmental Effects",04/10/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Crude Oil - Sweet,3.0
672,INC2014-058,Release of Substance,04/13/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,1522790.0
673,INC2014-059,Release of Substance,04/18/2014,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,15.0
674,INC2014-060,Release of Substance,04/19/2014,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,56.0
675,INC2014-061,Release of Substance,04/24/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1e-04
676,INC2014-062,Release of Substance,04/28/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.001
677,INC2014-064,"Release of Substance, Adverse Environmental Effects",05/01/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Amine,6.5
678,INC2014-065,Release of Substance,05/01/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,148.0
679,INC2014-067,Release of Substance,05/02/2014,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,
680,INC2014-068,Release of Substance,05/06/2014,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,30.0
681,INC2014-071,Release of Substance,05/14/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
682,INC2014-074,Release of Substance,05/26/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1114.0
683,INC2014-076,Release of Substance,05/28/2014,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
684,INC2014-078,Release of Substance,06/02/2014,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,160000.0
685,INC2014-079,Fire,06/02/2014,Quebec,Enbridge Pipelines Inc.,Not Applicable,
686,INC2014-080,Operation Beyond Design Limits,06/02/2014,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
687,INC2014-081,Release of Substance,06/03/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,322.0
688,INC2014-082,Release of Substance,06/05/2014,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
689,INC2014-083,Fire,06/10/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
690,INC2014-084,Release of Substance,06/11/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1e-04
691,INC2014-086,Operation Beyond Design Limits,06/13/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
692,INC2014-087,Fire,06/13/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
